Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Dibutyl phthalate,35.131,948530,,8459,,35.165,67245424,,744600,,35.152,16815882,,146798,,35.154,17830754,,157094,,35.151,14508069,,119314,,35.148,14352034,,120880,,35.138,6329876,,52357,,35.139,1667059,,13322,,35.140,1855296,,15094,,35.133,1539407,,12862,
Eicosane (n-C20),35.337,54943,,100792,,35.226,10898243,,21457665,,35.403,282425,,66585,,35.374,517200,,285130,,35.351,624450,,1121498,,35.352,631407,,1143704,,35.335,22952,,,,34.973,1721061,,3253499,,34.977,1883511,,3551204,,35.337,59318,,94188,
1-Methylphenanthrene,35.436,242982,,37527,,35.447,60866,,9100,,35.444,17063,,25102,,35.449,18741,,19143,,35.453,10937,,2061,,35.436,10447,,4269,,35.447,6530,,135,,35.430,1691,,,,35.448,1603,,1234,,35.438,1721,,129,
Chlorpyrifos,35.863,89209,,68185,,35.176,3219,,1376,,35.891,474,,432,,35.886,800,,477,,35.890,80,,,,35.877,293,,183,,35.148,32,,10,,34.952,504,,964,,34.963,332,,315,,35.862,15,,15,
bis(2-Methoxyethyl)phthalate,36.093,58503,,49472,,35.613,1548201,,,,35.721,1507303,,,,35.730,1725347,,,,35.670,120196,,,,35.660,116959,,,,36.656,7522,,,,36.244,6365,,,,36.241,7016,,,,36.655,13206,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.825,142439,,37024,,37.761,1284,,1952,,36.925,101,,,,37.770,3433,,5902,,37.768,2123,,3307,,36.833,97,,,,36.389,3,,,,36.830,12,,,,37.769,456,,589,,37.760,209,,351,
bis(4-Methyl-2-pentyl)phthalate,37.069,224446,,27191,,37.009,10249,,1198,,37.196,53220,,183,,37.204,59013,,1236,,37.192,16738,,1348,,37.195,16237,,63,,37.446,2083,,29,,37.186,5338,,36,,37.176,6077,,127,,37.153,824,,5,
Heneicosane,37.384,3032,,4289,,37.263,233339,,450225,,37.267,193851,,347768,,37.265,264136,,489032,,37.276,808985,,1497712,,37.270,782874,,1463519,,37.253,12654,,25682,,37.250,19020,,29924,,37.251,21961,,30793,,37.255,53224,,104452,
1-Hexadecanol,36.690,4761,,9740,,37.267,80944,,134091,,37.324,709495,,882496,,37.309,739751,,830452,,37.283,2903364,,3683165,,37.283,2958580,,3658425,,37.249,6358,,,,37.253,9296,,6599,,37.251,6990,,7104,,37.258,17975,,23370,
Didecyl amine (?),37.652,1354,,11,,37.534,6753337,,103218,,37.616,1475903,,12246,,37.611,1508461,,20829,,37.558,850128,,7316,,37.561,493556,,6864,,37.680,430490,,7382,,37.779,206400,,2671,,37.766,212420,,877,,37.672,117241,,1998,
C2-Phenanthrenes,38.499,2853,,,,37.599,128317,,84245,,37.602,34727,,21183,,37.611,36302,,24477,,37.602,20717,,12716,,37.598,20720,,13574,,37.592,8918,,3675,,37.596,4047,,1100,,37.590,2287,,2150,,37.600,2297,,637,
bis(2-Ethoxyethyl)phthalate,38.187,85936,,41756,,38.151,128257,,,,38.236,21635,,,,38.234,47096,,,,38.215,17248,,,,38.219,12362,,225810,,38.137,10475,,,,38.250,1725,,,,38.257,3810,,,,38.156,186,,,
Fluoranthene,38.272,390184,,28440,,38.280,309369,,21889,,38.287,46428,,19773,,38.285,51536,,21075,,38.286,19874,,9649,,38.276,19981,,5733,,38.280,20735,,2003,,38.273,4228,,597,,38.281,4282,,633,,38.271,2247,,2897,
