Compound Method,YF2,,,Qualifier 1 Results,Qualifier 2 Results,YF2,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,YF2_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Hentriacontane (n-C31),52.860,1650620,,2784714,,52.858,1658958,,2881359,,52.834,3083,,2129,,52.829,140562,,232368,
Methyl Dipentadecyl amine (?),53.036,65540,,5739,,53.031,67967,,6061,,52.993,1910,,56,,53.002,3617,,275,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.365,4489,,1919,1271,53.353,4448,,1728,1062,53.336,182027,,63679,47586,53.338,320,,91,24
Dotriacontane (n-C32),54.141,971197,,1617347,,54.139,1026610,,1669469,,54.119,121025,,193013,,54.110,81256,,122557,
Dihexdecyl amine (?),54.294,29407,,4906,,54.298,27679,,4788,,54.281,98,,30,,54.249,1519,,252,
Vitamin E (or tocopherol isomer),54.290,3848413,,394435,,54.288,3798623,,355271,,54.264,1186,,375,,54.270,275426,,4327,
Cholesterol,54.311,3107596,,4913906,,54.309,3063186,,4735611,,54.363,49965,,71252,,54.459,189779,,320325,
Lathosterol,55.168,338641,,259423,,55.173,316071,,272081,,54.342,29989,,32909,,55.381,6786,,11276,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.165,80,,87,54,55.190,259,,141,,55.156,148169,,61430,46051,55.130,16,,,11
Tritriacontane (n-C33),55.395,919965,,1605027,,55.390,997486,,1684347,,55.894,937,,284,,55.534,56436,,27293,
Methyl dihexdecyl amine (?),55.554,125379,,32733,,55.556,123810,,33868,,55.532,4223,,907,,55.517,6986,,1822,
"Cholesta-3,5-dien-7-one",55.659,982220,,385635,,55.661,938459,,357291,,55.640,3811,,1905,,55.639,84183,,24696,
"Indeno(1,2,3-cd)pyrene",56.205,31629,,6688,,56.213,29174,,6885,,56.199,602408,,115449,,56.218,2408,,145,
Cholest-4-en-3-one,56.310,34548,,,,56.298,31752,,,,56.745,2757,,2681,,56.259,4288,,,
Tetratriacontane (n-C34),56.781,680802,,1019088,,56.779,688573,,1033584,,56.759,111285,,173554,,56.750,52113,,81794,
beta-Sitosterol,56.951,108745,,162739,,56.955,119537,,157159,,56.975,942,,530,,57.238,121,,270,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.957,313,,,71,56.955,173,,137,134,56.935,90384,,87615,42754,56.954,22,,,
Diheptadecyl amine (?),56.940,29729,,4449,,56.952,29426,,4153,,56.928,3861,,104,,56.926,1407,,260,
"Benzo[g,h,i]perylene",57.310,46361,,7636,,57.318,47861,,8281,,57.287,457218,,78121,,57.313,2922,,207,
Pentatriacontane (n-C35),58.398,566510,,820909,,58.406,536301,,819884,,58.209,57,,344,,58.367,38599,,66080,
Methyl diheptadecyl amine (?),58.587,1852772,,119650,,58.592,1826185,,116696,,58.558,35889,,2232,,58.550,86872,,6540,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.902,634,,631,731,59.883,129,,151,659,59.893,56045,,54563,23692,60.088,9,,12,10
Hexatriacontane (n-C36),60.323,391549,,635439,,60.324,415879,,650626,,60.297,98030,,154024,,60.275,31260,,45191,
Dioctadecyl amine (?),60.523,74292,,4731,,60.524,71581,,6375,,60.496,1054,,22,,60.485,4341,,31,
Methyl dioctadecyl amine (?),62.861,7715228,,243320,,62.855,7660291,,233188,,62.821,76143,,2998,,62.796,335208,,12990,
Acenaphthene-D10,24.881,1319214,,1708441,,24.879,1307384,,1698559,,24.865,425243,,550530,,24.874,80957,,109394,
Phenanthrene-D10,32.219,2760734,,333597,,32.216,2734343,,326120,,32.216,854674,,103583,,32.221,167961,,21075,
Benz(a)anthracene-D12,45.249,3110925,,750556,,45.247,3110332,,746450,,45.236,1108582,,259712,,45.241,196043,,49880,
Perylene-D12,52.027,1503196,,343700,,52.028,1471536,,344101,,52.011,638106,,147752,,52.009,95026,,25105,
